record,group,time_s,r_cm,z_cm,value,metric
field,Q2/Q3,10800.0,1.910888671875,1.32904052734375,7.494207755920357e-06,delta_C
field,Q2/Q3,10800.0,1.9235839843750002,1.32904052734375,7.796497598411278e-06,delta_C
field,Q2/Q3,10800.0,1.935302734375,1.32904052734375,8.072009853643536e-06,delta_C
field,Q2/Q3,10800.0,1.9460449218750002,1.32904052734375,8.321516822284991e-06,delta_C
field,Q2/Q3,10800.0,1.955810546875,1.32904052734375,8.545757034905677e-06,delta_C
field,Q2/Q3,10800.0,1.964599609375,1.32904052734375,8.745427303225028e-06,delta_C
field,Q2/Q3,10800.0,1.9724121093750002,1.32904052734375,8.921175487675015e-06,delta_C
field,Q2/Q3,10800.0,1.9792480468750002,1.32904052734375,9.07359398416574e-06,delta_C
field,Q2/Q3,10800.0,1.985107421875,1.32904052734375,9.203213919173336e-06,delta_C
field,Q2/Q3,10800.0,1.9899902343750002,1.32904052734375,9.310500058035132e-06,delta_C
field,Q2/Q3,10800.0,1.993896484375,1.32904052734375,9.395846428894572e-06,delta_C
field,Q2/Q3,10800.0,1.9968261718750002,1.32904052734375,9.459572663406135e-06,delta_C
field,Q2/Q3,10800.0,1.998779296875,1.32904052734375,9.501921061527696e-06,delta_C
field,Q2/Q3,10800.0,1.999755859375,1.32904052734375,9.523054385729424e-06,delta_C
field,Q2/Q3,10800.0,0.031005859375,1.69525146484375,-3.948947270893122e-05,delta_C
field,Q2/Q3,10800.0,0.092529296875,1.69525146484375,-3.9343389411694574e-05,delta_C
field,Q2/Q3,10800.0,0.153076171875,1.69525146484375,-3.905870088050101e-05,delta_C
field,Q2/Q3,10800.0,0.21264648437500003,1.69525146484375,-3.864326058633516e-05,delta_C
field,Q2/Q3,10800.0,0.271240234375,1.69525146484375,-3.810521307556769e-05,delta_C
field,Q2/Q3,10800.0,0.328857421875,1.69525146484375,-3.745291528511885e-05,delta_C
field,Q2/Q3,10800.0,0.385498046875,1.69525146484375,-3.66948637742226e-05,delta_C
field,Q2/Q3,10800.0,0.441162109375,1.69525146484375,-3.583962768249904e-05,delta_C
field,Q2/Q3,10800.0,0.49584960937499994,1.69525146484375,-3.489578723692155e-05,delta_C
field,Q2/Q3,10800.0,0.549560546875,1.69525146484375,-3.3871877610280876e-05,delta_C
field,Q2/Q3,10800.0,0.602294921875,1.69525146484375,-3.277633795706336e-05,delta_C
field,Q2/Q3,10800.0,0.654052734375,1.69525146484375,-3.1617465417355106e-05,delta_C
field,Q2/Q3,10800.0,0.704833984375,1.69525146484375,-3.0403373918908017e-05,delta_C
field,Q2/Q3,10800.0,0.754638671875,1.69525146484375,-2.9141957565981258e-05,delta_C
field,Q2/Q3,10800.0,0.8034667968750001,1.69525146484375,-2.7840858438654692e-05,delta_C
field,Q2/Q3,10800.0,0.8513183593749999,1.69525146484375,-2.6507438601663935e-05,delta_C
field,Q2/Q3,10800.0,0.898193359375,1.69525146484375,-2.514875611692169e-05,delta_C
field,Q2/Q3,10800.0,0.944091796875,1.69525146484375,-2.377154488364397e-05,delta_C
field,Q2/Q3,10800.0,0.989013671875,1.69525146484375,-2.2382198079373694e-05,delta_C
field,Q2/Q3,10800.0,1.032958984375,1.69525146484375,-2.0986755015606207e-05,delta_C
field,Q2/Q3,10800.0,1.075927734375,1.69525146484375,-1.959089118663826e-05,delta_C
field,Q2/Q3,10800.0,1.117919921875,1.69525146484375,-1.8199911320682105e-05,delta_C
field,Q2/Q3,10800.0,1.158935546875,1.69525146484375,-1.6818745212310304e-05,delta_C
field,Q2/Q3,10800.0,1.198974609375,1.69525146484375,-1.5451946148825613e-05,delta_C
field,Q2/Q3,10800.0,1.238037109375,1.69525146484375,-1.4103691745148694e-05,delta_C
field,Q2/Q3,10800.0,1.276123046875,1.69525146484375,-1.2777787003148688e-05,delta_C
field,Q2/Q3,10800.0,1.313232421875,1.69525146484375,-1.1477669460635553e-05,delta_C
